이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
가구종합전자마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.038346704822,35.1190494624335,kakao
슈퍼짐,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0387315914763,35.11992613459027,kakao
동구할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040661479606,35.1210940056616,kakao
서원탑훼밀리마트 초량점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040672861998,35.1196158940168,kakao
유니마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04045972162,35.1191616888081,kakao
A마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03967477454194,35.1180322201091,kakao
이화마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.035299192675,35.1214040872425,kakao
농축산마트 초량점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040152659133,35.1182837119049,kakao
CU 초량이편한점,편의점,1.0,1.0,없음(이미 24시간),129.03983125100868,35.12311939879109,kakao
CU 부산항드메르점,편의점,1.0,1.0,없음(이미 24시간),129.04799245104743,35.11881110993373,kakao
부산초량우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0377871278714,35.11811624947936,kakao
CU 부산G7점,편의점,1.0,1.0,없음(이미 24시간),129.04612133854738,35.11635549296251,kakao
CU 초량망양로점,편의점,1.0,1.0,없음(이미 24시간),129.03481827976046,35.12442568221271,kakao
십자수마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040402307749,35.1237189742389,kakao
알뜰미니마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.041404549148,35.1224774010709,kakao
이코마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04276739628838,35.12026098273509,kakao
캣마트 부산점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.043063216101,35.1206434981247,kakao
더드림마트 초량점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0448982930255,35.122797877215575,kakao
킹마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040371307571,35.12300396704157,kakao
