TOT_OA_CD,ADM_CD,dong,oa_area_m2,cx,cy,entry_node,dist_station_m,p65,p75,p80,p75_2026,f_age,f_reach,risk,risk_norm,lon,lat
21030700010013,21030700,좌천동,23729.542577615663,386484.14282734,283916.3292072476,1781803557,707.6039010616363,203.0,88.0,50.0,90.98213185459025,0.37129888545638795,0.18057584095122764,0.0670476084855408,0.4231775139010443,129.046009,35.134348
21030700010003,21030700,좌천동,33947.833615827396,386914.85897934844,283989.63644374016,12865994543,1037.7835183467273,176.0,87.0,44.0,89.94824399260628,0.36707957993983814,0.26483549803728484,0.09721570337268434,0.6135863842819375,129.050749,35.134928
21030700010006,21030700,좌천동,34773.77189695939,387206.8744448099,284145.4565358216,3946834223,1416.4896511351624,208.0,89.0,46.0,92.01601971657423,0.37551819097293787,0.36147880130209004,0.1357418655400269,0.8567480106901398,129.053986,35.136278
21030700010009,21030700,좌천동,25526.590822761475,386707.489970363,283913.3034051696,1781811966,885.0486344492901,193.0,80.0,44.0,82.71102895871842,0.3375444413239891,0.22585856466963591,0.07623730302965032,0.48117916643612185,129.048458,35.134279
21030700010011,21030700,좌천동,30839.636082788333,386673.31340252096,284307.1680000016,1781764023,1249.5158049348624,189.0,91.0,43.0,94.0837954405422,0.3839568020060376,0.3188681788207228,0.12243160620149407,0.7727390119579451,129.048172,35.137833
21030700010001,21030700,좌천동,18987.669351811946,386948.19163137564,283640.8211106305,6469877667,477.4558483777362,250.0,192.0,153.0,198.5064695009242,0.8101066591775739,0.12184357831908217,0.09870629417431273,0.6229943933657052,129.051035,35.13178
21030700010004,21030700,좌천동,27572.106419747448,387099.0810194252,283897.21399028995,1478474312,890.2442130998315,150.0,58.0,29.0,59.96549599507085,0.24471971995989208,0.22718444201802554,0.05559651302989555,0.35090280916778693,129.052748,35.134061
21030700010015,21030700,좌천동,25872.172241720276,386602.78782190377,283873.4592144726,1781803871,597.6179409507622,185.0,82.0,52.0,84.77880468268637,0.3459830523570888,0.15250815052434957,0.05276523542774882,0.33303292470951357,129.047301,35.13394
21030700010007,21030700,좌천동,31966.846588845638,386797.2364966754,284132.4648851088,1781811988,1048.841954541489,229.0,103.0,54.0,106.49044978434996,0.434588468204636,0.26765753789952784,0.11632087939918011,0.7341705643318174,129.049491,35.136237
21030700010016,21030700,좌천동,14972.537107749622,386647.0818441543,283682.4717212372,1781803618,448.2441904303247,130.0,53.0,19.0,54.79605668515095,0.2236231923771428,0.1143889561900643,0.025580023555911307,0.16145081112408577,129.047743,35.132211
